;Zinc_ID;SMILES;MolecularFormula;MolWt;MolLogp;HAcceptors;HDonors;RotableBonds;RindCount;TPSA
39;ZINC000043505237;CO[C@@H]1O[C@H](C)[C@H](O)[C@@H](O)[C@@H]1O;C7H14O5;178.084123548;-1.5397000000000005;5;3;1;1;79.15
40;ZINC000014649299;OC[C@H](O)C[C@@H](O)CO;C5H12O4;136.073558864;-1.9171;4;4;4;0;80.92
41;ZINC000257418501;C[C@@H]1C[C@H](O)[C@H](O)[C@@H](O)C1=O;C7H12O4;160.073558864;-1.322;4;3;0;1;77.75999999999999
42;ZINC000049614121;N[C@H](C(=O)O)[C@H](CC(=O)O)C(=O)O;C6H9NO6;191.042987008;-1.4261999999999997;4;4;5;0;137.92000000000002
43;ZINC000197972294;O[C@@H]1[C@H](O)C[C@@]2(O)CC[C@H]1N2;C7H13NO3;159.089543276;-1.4475000000000005;4;4;0;2;72.72
44;ZINC000001532852;N[C@@H](CCOP(=O)(O)O)C(=O)O;C4H10NO6P;199.02457367;-1.1023000000000003;4;4;5;0;130.07999999999998
45;ZINC000000901232;O=C(CO)[C@H](O)CO;C4H8O4;120.04225873600001;-2.0989999999999998;4;3;3;0;77.76
46;ZINC000013347950;NC[C@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O;C6H13NO5;179.079372516;-3.2533999999999996;6;5;1;1;116.17000000000002
47;ZINC000095919188;O[C@@H]1[C@@H](O)[C@H](O)[C@@]23CC[C@@H]2N[C@H]13;C8H13NO3;171.089543276;-1.7966999999999997;4;4;0;3;72.72
48;ZINC000018044615;O=c1[nH]c(=O)[nH]c(=O)[nH]1;C3H3N3O3;129.017440956;-2.2485000000000004;3;3;0;1;98.57999999999998
49;ZINC000104874733;O=C1O[C@@H]2[C@H](O)CO[C@]2(O)C1(O)O;C6H8O7;192.02700259600002;-3.3276;7;4;0;2;116.45000000000002
50;ZINC000001532167;CNC(=O)NC(=O)C(=O)O;C4H6N2O4;146.032756672;-1.4733999999999998;3;3;0;0;95.50000000000001
51;ZINC000003650867;C[C@]1(O)C[C@]2(CO1)OC[C@H](O)[C@H]2O;C8H14O5;190.084123548;-1.3940000000000003;5;3;0;2;79.15
